出現形,基幹表現,部位,方言地方,標準病名,ICD-10,エビデンス
尻がチャン,チャン,尻,,-1,,Web
尻がツルツル,ツルツル,尻,,-1,,Web
尻がムチムチ,ムチムチ,尻,,-1,,Web
尻がムラムラ,ムラムラ,尻,,-1,,Web
尻をグルグル,グルグル,尻,,-1,,Web
尻をペロペロ,ペロペロ,尻,,-1,,Web
尻をペンペン,ペンペン,尻,,-1,,Web
唇がツヤツヤ,ツヤツヤ,唇,,-1,,Web
唇がテカテカ,テカテカ,唇,,-1,,Web
舌がレロレロ,レロレロ,舌,,-1,,Web
舌をチロチロ,チロチロ,舌,,-1,,Web
舌をペロッと,ペロッ,舌,,-1,,Web
足がガリガリ,ガリガリ,足,,-1,,Web
足がキラキラしている,キラキラ,足,,-1,,Web
足がゴロゴロ,ゴロゴロ,足,,-1,,Web
足がコン,コン,足,,-1,,Web
足がニコニコ,ニコニコ,足,,-1,,Web
足がバラバラ,バラバラ,足,,-1,,Web
足がピン,ピン,足,,-1,,Web
足がムキムキ,ムキムキ,足,,-1,,Web
足がワクワク,ワクワク,足,,-1,,Web
足をググ,ググ,足,,-1,,Web
足をバタバタ,バタバタ,足,,-1,,Web
足をペロペロ,ペロペロ,足,,-1,,Web
足をペン,ペン,足,,-1,,Web
腿がスラッ,スラッ,腿,,-1,,Web
爪がガリガリ,ガリガリ,爪,,-1,,Web
爪がキラキラしている,キラキラ,爪,,-1,,Web
爪をカチカチする,カチカチ,爪,,-1,,Web
爪をカリカリする,カリカリ,爪,,-1,,Web
爪先をトントン,トントン,爪先,,-1,,Web
頭がコン,コン,頭,,-1,,Web
頭がジョジョ,ジョジョ,頭,,-1,,Web
頭がツンツン,ツンツン,頭,,-1,,Web
頭がテカテカ,テカテカ,頭,,-1,,Web
頭がニコニコ,ニコニコ,頭,,-1,,Web
頭がバラバラ,バラバラ,頭,,-1,,Web
頭がピン,ピン,頭,,-1,,Web
頭がプリン,プリン,頭,,-1,,Web
頭がボサボサ,ボサボサ,頭,,-1,,Web
頭がポンポン,ポンポン,頭,,-1,,Web
頭をググ,ググ,頭,,-1,,Web
頭をナデナデ,ナデナデ,頭,,-1,,Web
頭をパッ,パッ,頭,,-1,,Web
瞳がキラキラしている,キラキラ,瞳,,-1,,Web
瞳がサラサラ,サラサラ,瞳,,-1,,Web
瞳にキュンキュンする,キュンキュン,瞳,,-1,,Web
胴がキツキツになった,キツキツ,胴,,-1,,Web
胴がタルタル,タルタル,胴,,-1,,Web
胴体がギチギチ,ギチギチ,胴体,,-1,,Web
乳がん,,,-1,-1,-1,CS
脳がジョジョ,ジョジョ,脳,,-1,,Web
脳がスカスカ,スカスカ,脳,,-1,,Web
脳がツルツル,ツルツル,脳,,-1,,Web
脳がトロトロ,トロトロ,脳,,-1,,Web
脳がピン,ピン,脳,,-1,,Web
脳がワクワク,ワクワク,脳,,-1,,Web
脳をググ,ググ,脳,,-1,,Web
脳をコネコネ,コネコネ,脳,,-1,,Web
背がスラッ,スラッ,背,,-1,,Web
背中がデカデカ,デカデカ,背中,,-1,,Web
髪がキシキシいう,キシキシ,髪　,,-1,,Web
髪がコロコロ,コロコロ,髪,,-1,,Web
髪がゴワゴワ,ゴワゴワ,髪,,-1,,Web
髪がサラサラ,サラサラ,髪,,-1,,Web
髪がシュシュ,シュシュ,髪,,-1,,Web
髪がチリチリ,チリチリ,髪,,-1,,Web
髪がツヤツヤ,ツヤツヤ,髪,,-1,,Web
髪がツンツン,ツンツン,髪,,-1,,Web
髪がバサバサ,バサバサ,髪,,-1,,Web
髪がパサパサ,パサパサ,髪,,-1,,Web
髪がフサフサ,フサフサ,髪,,-1,,Web
髪がフワフワ,フワフワ,髪,,-1,,Web
髪がベタベタ,ベタベタ,髪,,-1,,Web
髪がボーボー,ボーボー,髪,,-1,,Web
髪がボサボサ,ボサボサ,髪,,-1,,Web
髪がボロボロ,ボロボロ,髪,,-1,,Web
髪がモサモサ,モサモサ,髪,,-1,,Web
髪をクルクル,クルクル,髪,,-1,,Web
髪をクンカクンカする,クンカクンカ,髪,,-1,,Web
髪をスーハースーハー,スーハースーハー,髪,,-1,,Web
髪をペン,ペン,髪,,-1,,Web
眉がゲジゲジ,ゲジゲジ,眉,,-1,,Web
鼻がツンツン,ツンツン,鼻,,-1,,Web
鼻をググ,ググ,鼻,,-1,,Web
鼻をグリグリする,グリグリ,鼻,,-1,,Web
鼻をクンカクンカする,クンカクンカ,鼻,,-1,,Web
鼻をホジホジ,ホジホジ,鼻,,-1,,Web
髭がダメダメ,ダメダメ,髭,,-1,,Web
髭がチクチク,チクチク,髭,,-1,,Web
髭がボサボサ,ボサボサ,髭,,-1,,Web
肘がチャン,チャン,肘,,-1,,Web
腹がガリガリ,ガリガリ,腹,,-1,,Web
腹がグーグーなる,グーグー,腹,,-1,,Web
腹がクラクラする,クラクラ,腹,,-1,,Web
腹がコン,コン,腹,,-1,,Web
腹がタプタプ,タプタプ,腹,,-1,,Web
腹がダラダラ,ダラダラ,腹,,-1,,Web
腹がチャン,チャン,腹,,-1,,Web
腹がフラフラ,フラフラ,腹,,-1,,Web
腹がプリン,プリン,腹,,-1,,Web
腹がペコペコ,ペコペコ,腹,,-1,,Web
腹がポンポン,ポンポン,腹,,-1,,Web
腹をググ,ググ,腹,,-1,,Web
頬がスベスベ,スベスベ,頬,,-1,,Web
頬がスリスリ,スリスリ,頬,,-1,,Web
頬をギュッと,ギュッ,頬,,-1,,Web
面がゾクゾク,ゾクゾク,面,,-1,,Web
面がチャチャ,チャチャ,面,,-1,,Web
面がワクワク,ワクワク,面,,-1,,Web
目がキラキラしている,キラキラ,目,,-1,,Web
目がコン,コン,目,,-1,,Web
目がニコニコ,ニコニコ,目,,-1,,Web
目がピン,ピン,目,,-1,,Web
目をカッと,カッ,目,,-1,,Web
目をパチパチ,パチパチ,目,,-1,,Web
目をパッ,パッ,目,,-1,,Web
目をペン,ペン,目,,-1,,Web
脇がガラガラ,ガラガラ,脇,,-1,,Web
脇がデン,デン,脇,,-1,,Web
脇をクンカクンカする,クンカクンカ,脇,,-1,,Web
腕がガリガリ,ガリガリ,腕,,-1,,Web
腕がシュシュ,シュシュ,腕,,-1,,Web
腕がピン,ピン,腕,,-1,,Web
腕がプニプニ,プニプニ,腕,,-1,,Web
腕がプルプル,プルプル,腕,,-1,,Web
腕がムキムキ,ムキムキ,腕,,-1,,Web
腕がムチムチ,ムチムチ,腕,,-1,,Web
腕をグルグル,グルグル,腕,,-1,,Web
睫毛がガビガビ,ガビガビ,睫毛,,-1,,Web
瞼をギュッと,ギュッ,瞼,,-1,,Web
腋がボーボー,ボーボー,腋,,-1,,Web
腋がレロレロ,レロレロ,腋,,-1,,Web
腋をクンカクンカする,クンカクンカ,腋,,-1,,Web
腋をクンクン,クンクン,腋,,-1,,Web
腋をスンスン,スンスン,腋,,-1,,Web
踵をカリカリする,カリカリ,踵,,-1,,Web
踵をコツコツ,コツコツ,踵,,-1,,Web
Ａ型肝炎,-1,-1,-1,A型肝炎,B159,AEX
Ｂ型肝炎,-1,-1,-1,B型肝炎,B169,AEX
CAEが高い,,,-1,ＣＥＡ高値,R778,CS
CEAが高い,,,-1,ＣＥＡ高値,R778,CS
CEAの値が高い,,,-1,ＣＥＡ高値,R778,CS
CEA上昇,,,-1,ＣＥＡ高値,R778,CS
ＣＥＡ値がたかい,,,-1,ＣＥＡ高値,R778,CS
CEA値が高い,,,-1,ＣＥＡ高値,R778,CS
癌陽性の可能性,,,-1,ＣＥＡ高値,R778,CS
腫瘍マーカー,,,-1,ＣＥＡ高値,R778,CS
腫瘍マーカー上昇,,,-1,ＣＥＡ高値,R778,CS
胎児性抗原高値,,,-1,ＣＥＡ高値,R778,CS
Ｃ型肝炎,-1,-1,-1,C型肝炎,B182,AEX
こういがくしけっしょう,,,-1,"ＩｇＧ４関連疾患,高ＩｇＧ血症","R771,M359",CS
こういジーヨンけっしょう,,,-1,"ＩｇＧ４関連疾患,高ＩｇＧ血症","R771,M359",CS
こういちけっしょう,,,-1,"ＩｇＧ４関連疾患,高ＩｇＧ血症","R771,M359",CS
血液に問題がある,,,-1,"ＩｇＧ４関連疾患,高ＩｇＧ血症","R771,M359",CS
高グロブリン血症,,,-1,"ＩｇＧ４関連疾患,高ＩｇＧ血症","R771,M359",CS
高血圧症,,,-1,"ＩｇＧ４関連疾患,高ＩｇＧ血症","R771,M359",CS
あくび,-1,-1,-1,あくび,R068,AEX
アクビ,-1,-1,-1,あくび,R068,AEX
欠伸,-1,-1,-1,あくび,R068,AEX
あざ,-1,-1,-1,あざ,Q825,AEX
アザ,-1,-1,-1,あざ,Q825,AEX
アナフィラキシ,-1,-1,-1,アナフィラキシーショック,T782,AEX
アナフィラキシー,-1,-1,-1,アナフィラキシーショック,T782,AEX
アナフィラキシーショック,-1,-1,-1,アナフィラキシーショック,T782,AEX
アナフィラキシショック,-1,-1,-1,アナフィラキシーショック,T782,AEX
アレルギー性ショック,-1,-1,-1,アナフィラキシーショック,T782,AEX
アレルギー,-1,-1,-1,アレルギー,T784,AEX
アレルギー性,-1,-1,-1,アレルギー,T784,AEX
アレルギー性鼻炎,-1,鼻,-1,アレルギー性鼻炎,J304,AEX
いぼ,-1,-1,-1,いぼ状表皮異形成,Q828,AEX
イボ,-1,-1,-1,いぼ状表皮異形成,Q828,AEX
インフル,-1,-1,-1,インフルエンザ,J111,AEX
インフルエンザ,-1,-1,-1,インフルエンザ,J111,AEX
Ａ型のインフルエンザ,-1,-1,-1,インフルエンザA型,J101,AEX
インフルＡ,-1,-1,-1,インフルエンザA型,J101,AEX
インフルエンザＡ,-1,-1,-1,インフルエンザA型,J101,AEX
Ｂ型のインフルエンザ,-1,-1,-1,インフルエンザB型,J101,AEX
インフルＢ,-1,-1,-1,インフルエンザB型,J101,AEX
インフルエンザＢ,-1,-1,-1,インフルエンザB型,J101,AEX
うつの傾向,-1,-1,-1,うつ状態,F329,AEX
うつの状態,-1,-1,-1,うつ状態,F329,AEX
うつの反応,-1,-1,-1,うつ状態,F329,AEX
憂鬱傾向,-1,-1,-1,うつ状態,F329,AEX
抑うつの反応,-1,-1,-1,うつ状態,F329,AEX
抑うつ傾向,-1,-1,-1,うつ状態,F329,AEX
抑うつ状態,-1,-1,-1,うつ状態,F329,AEX
鬱の傾向,-1,-1,-1,うつ状態,F329,AEX
鬱の状態,-1,-1,-1,うつ状態,F329,AEX
鬱の反応,-1,-1,-1,うつ状態,F329,AEX
うつ,-1,-1,-1,うつ病,F329,AEX
うつ病,-1,-1,-1,うつ病,F329,AEX
デプレッション,-1,-1,-1,うつ病,F329,AEX
抑うつ病,-1,-1,-1,うつ病,F329,AEX
鬱,-1,-1,-1,うつ病,F329,AEX
う歯,-1,歯,-1,う蝕,K029,AEX
むしば,-1,歯,-1,う蝕,K029,AEX
虫歯,-1,歯,-1,う蝕,K029,AEX
齲歯,-1,歯,-1,う蝕,K029,AEX
おくび,-1,-1,-1,おくび,R14,AEX
オクビ,-1,-1,-1,おくび,R14,AEX
ゲップ,-1,-1,-1,おくび,R14,AEX
げっぷ,-1,-1,-1,おくび,R14,AEX
噯気,-1,-1,-1,おくび,R14,AEX
かぜ,-1,-1,-1,"かぜ,感冒",J00,AEX
カゼ,-1,-1,-1,"かぜ,感冒",J00,AEX
かぜひき,-1,-1,-1,"かぜ,感冒",J00,AEX
かんぼう,-1,-1,-1,"かぜ,感冒",J00,AEX
感冒,-1,-1,-1,"かぜ,感冒",J00,AEX
風邪,-1,-1,-1,"かぜ,感冒",J00,AEX
風邪ひき,-1,-1,-1,"かぜ,感冒",J00,AEX
風邪引き,-1,-1,-1,"かぜ,感冒",J00,AEX
カフェイン大量摂取,-1,-1,-1,カフェイン中毒,F152,AEX
カフェイン中毒,-1,-1,-1,カフェイン中毒,F152,AEX
くしゃみ,-1,-1,-1,くしゃみ,R067,AEX
こむらがえり,-1,-1,-1,こむら返り,R252,AEX
こむら返り,-1,-1,-1,こむら返り,R252,AEX
足がつった,-1,足,-1,こむら返り,R252,AEX
足がつる,-1,足,-1,こむら返り,R252,AEX
足が攣った,-1,足,-1,こむら返り,R252,AEX
足が攣る,-1,足,-1,こむら返り,R252,AEX
いぼ,,,-1,こわばり,R208,CS
かたくなる,,,-1,こわばり,R208,CS
かたまる,,,-1,こわばり,R208,CS
カチカチ,,,-1,こわばり,R208,CS
こしゃく,,,-1,こわばり,R208,CS
こわばり,,,-1,こわばり,R208,CS
こわばり,-1,-1,-1,こわばり,R208,AEX
こわばる,,,-1,こわばり,R208,CS
こわばる,-1,-1,-1,こわばり,R208,AEX
しびれ,,,-1,こわばり,R208,CS
つっぱり,,,-1,こわばり,R208,CS
つっぱる,,,-1,こわばり,R208,CS
つっぱる感じがする,,,-1,こわばり,R208,CS
はり,,,-1,こわばり,R208,CS
ひきつり,,,-1,こわばり,R208,CS
リウマチ,,,-1,こわばり,R208,CS
萎縮,,,-1,こわばり,R208,CS
顔が引きつってる,,,-1,こわばり,R208,CS
強張り,,,-1,こわばり,R208,CS
凝り固まる,,,-1,こわばり,R208,CS
筋肉が緊張して硬くなる,,,-1,こわばり,R208,CS
筋肉のこわばり,,,-1,こわばり,R208,CS
筋肉の強い強ばり,,,-1,こわばり,R208,CS
緊張,,,-1,こわばり,R208,CS
固くなる,,,-1,こわばり,R208,CS
固く縮む,,,-1,こわばり,R208,CS
固く突っ張ったようになる,,,-1,こわばり,R208,CS
固まっているさま,,,-1,こわばり,R208,CS
固まって圧縮されたもの,,,-1,こわばり,R208,CS
固まって縮む,,,-1,こわばり,R208,CS
固まって動きにくい,,,-1,こわばり,R208,CS
固まる,,,-1,こわばり,R208,CS
拘縮,,,-1,こわばり,R208,CS
硬い,,,-1,こわばり,R208,CS
硬くなり動かなくなる,,,-1,こわばり,R208,CS
硬くなる,,,-1,こわばり,R208,CS
硬化,,,-1,こわばり,R208,CS
思うように動かないこと,,,-1,こわばり,R208,CS
自制できず力が入りすぎること,,,-1,こわばり,R208,CS
手足が自由に動かせない,,,-1,こわばり,R208,CS
身体の筋肉が持続的に強くこわばること,,,-1,こわばり,R208,CS
からだがしびれて動きにくい,,,-1,しびれ感,R208,CS
けいれん,,,-1,しびれ感,R208,CS
ジーンとなる感じ,,,-1,しびれ感,R208,CS
しびれがきた,,,-1,しびれ感,R208,CS
しびれた,,,-1,しびれ感,R208,CS
しびれた感じ,,,-1,しびれ感,R208,CS
しびれている感覚,,,-1,しびれ感,R208,CS
しびれる感じがする,,,-1,しびれ感,R208,CS
しびれ感,,,-1,しびれ感,R208,CS
ジンジンしている感じ,,,-1,しびれ感,R208,CS
ジンジンする,,,-1,しびれ感,R208,CS
ビリつき,,,-1,しびれ感,R208,CS
びりびり,,,-1,しびれ感,R208,CS
ビリビリ,,,-1,しびれ感,R208,CS
ピリピリ,,,-1,しびれ感,R208,CS
びりびりぐる,,,-1,しびれ感,R208,CS
ビリビリした感じ,,,-1,しびれ感,R208,CS
ぴりぴりした感覚で平常でなくなる,,,-1,しびれ感,R208,CS
びりびりする,,,-1,しびれ感,R208,CS
ビリビリする,,,-1,しびれ感,R208,CS
ぴりぴりする,,,-1,しびれ感,R208,CS
ピリピリする,,,-1,しびれ感,R208,CS
ビリビリすること,,,-1,しびれ感,R208,CS
ビリビリする感じ,,,-1,しびれ感,R208,CS
ピリピリする感じ,,,-1,しびれ感,R208,CS
ピリピリとしびれている,,,-1,しびれ感,R208,CS
びりびり感,,,-1,しびれ感,R208,CS
ビリビリ感,,,-1,しびれ感,R208,CS
ピリピリ感ジンジン感を伴う感覚,,,-1,しびれ感,R208,CS
びれる,,,-1,しびれ感,R208,CS
やし,,,-1,しびれ感,R208,CS
感覚おかしい,,,-1,しびれ感,R208,CS
感覚が鈍る,,,-1,しびれ感,R208,CS
感覚の低下,,,-1,しびれ感,R208,CS
感覚異常,,,-1,しびれ感,R208,CS
感覚麻痺,,,-1,しびれ感,R208,CS
苦しい,,,-1,しびれ感,R208,CS
血行障害,,,-1,しびれ感,R208,CS
血行不良,,,-1,しびれ感,R208,CS
酸素欠乏,,,-1,しびれ感,R208,CS
自発的に生じる異常な感覚,,,-1,しびれ感,R208,CS
手足などがびりびりする,,,-1,しびれ感,R208,CS
神経にさわる,,,-1,しびれ感,R208,CS
神経痛,,,-1,しびれ感,R208,CS
中気,,,-1,しびれ感,R208,CS
麻痺する,,,-1,しびれ感,R208,CS
麻痺感,,,-1,しびれ感,R208,CS
無感覚,,,-1,しびれ感,R208,CS
痙攣,,,-1,しびれ感,R208,CS
痙攣する,,,-1,しびれ感,R208,CS
痺れる,,,-1,しびれ感,R208,CS
痺れる感じ,,,-1,しびれ感,R208,CS
痺れを感じる,,,-1,しびれ感,R208,CS
ショック,-1,-1,-1,ショック,R579,AEX
じんましん,-1,-1,-1,じんま疹,L509,AEX
じんま疹,-1,-1,-1,じんま疹,L509,AEX
蕁麻疹,-1,-1,-1,じんま疹,L509,AEX
おでき,-1,-1,-1,せつ,L029,AEX
せつ腫,-1,-1,-1,せつ,L029,AEX
腫れもの,-1,-1,-1,せつ,L029,AEX
せん妄,-1,-1,-1,せん妄,F059,AEX
譫妄,-1,-1,-1,せん妄,F059,AEX
かきむしって,-1,-1,-1,そう痒,L299,AEX
かゆい,-1,-1,-1,そう痒,L299,AEX
かゆみ,-1,-1,-1,そう痒,L299,AEX
掻き毟って,-1,-1,-1,そう痒,L299,AEX
痒い,-1,-1,-1,そう痒,L299,AEX
あおあざ,,,-1,チアノーゼ,R230,CS
黄疸,,,-1,チアノーゼ,R230,CS
顔色がおかしい,,,-1,チアノーゼ,R230,CS
顔色がわるか,,,-1,チアノーゼ,R230,CS
血中酸素濃度低下,,,-1,チアノーゼ,R230,CS
呼吸が止まって顔が紫になる,,,-1,チアノーゼ,R230,CS
酸素が足りていないこと,,,-1,チアノーゼ,R230,CS
酸素不足で肌の色が変わる,,,-1,チアノーゼ,R230,CS
紫色っぽい肌色,,,-1,チアノーゼ,R230,CS
紫色になる,,,-1,チアノーゼ,R230,CS
紫藍症,,,-1,チアノーゼ,R230,CS
手足の先端の色が紫色になる,,,-1,チアノーゼ,R230,CS
唇が紫色になる,,,-1,チアノーゼ,R230,CS
唇などが紫色になること,,,-1,チアノーゼ,R230,CS
真っ青,,,-1,チアノーゼ,R230,CS
青ざめた状態,,,-1,チアノーゼ,R230,CS
青紫,,,-1,チアノーゼ,R230,CS
低酸素症,,,-1,チアノーゼ,R230,CS
皮膚が紫になる,,,-1,チアノーゼ,R230,CS
皮膚が紫色になる,,,-1,チアノーゼ,R230,CS
皮膚が青紫色になる症状,,,-1,チアノーゼ,R230,CS
皮膚や粘膜が青紫色である状態,,,-1,チアノーゼ,R230,CS
喉がイライラする,イライラ,喉,-1,つかえ感,R198,Web
喉がゴロゴロする,ゴロゴロ,喉,-1,つかえ感,R198,Web
けいれんが急に起こる,,,-1,"てんかん様発作,痙攣発作,痙攣重積発作,全身痙攣発作",R568,CS
けいれんする発作,,,-1,"てんかん様発作,痙攣発作,痙攣重積発作,全身痙攣発作",R568,CS
てんかん,,,-1,"てんかん様発作,痙攣発作,痙攣重積発作,全身痙攣発作",R568,CS
バタバタする,,,-1,"てんかん様発作,痙攣発作,痙攣重積発作,全身痙攣発作",R568,CS
意図しないで手足など動かせずしびれること,,,-1,"てんかん様発作,痙攣発作,痙攣重積発作,全身痙攣発作",R568,CS
筋肉過多,,,-1,"てんかん様発作,痙攣発作,痙攣重積発作,全身痙攣発作",R568,CS
全身痙攣,,,-1,"てんかん様発作,痙攣発作,痙攣重積発作,全身痙攣発作",R568,CS
体が動かない,,,-1,"てんかん様発作,痙攣発作,痙攣重積発作,全身痙攣発作",R568,CS
痙攣しとる,,,-1,"てんかん様発作,痙攣発作,痙攣重積発作,全身痙攣発作",R568,CS
痙攣状態,,,-1,"てんかん様発作,痙攣発作,痙攣重積発作,全身痙攣発作",R568,CS
ドライアイ,-1,目,-1,ドライアイ,H041,AEX
眼が乾く,-1,眼,-1,ドライアイ,H041,AEX
眼が乾燥する,-1,眼,-1,ドライアイ,H041,AEX
眼球乾燥症候群,-1,目,-1,ドライアイ,H041,AEX
目が乾く,-1,目,-1,ドライアイ,H041,AEX
目が乾燥する,-1,目,-1,ドライアイ,H041,AEX
パーキンソニズム,-1,-1,-1,パーキンソン病,G20,AEX
パーキンソン,-1,-1,-1,パーキンソン病,G20,AEX
振戦麻痺,-1,-1,-1,パーキンソン病,G20,AEX
パニック,-1,-1,-1,パニック障害,F410,AEX
いろのこいおしっこ,,,-1,ビリルビン尿,R822,CS
おしっこが茶色い,,,-1,ビリルビン尿,R822,CS
おしっこが濃い,,,-1,ビリルビン尿,R822,CS
おしっこの色がおかしい,,,-1,ビリルビン尿,R822,CS
おしっこの色が褐色,,,-1,ビリルビン尿,R822,CS
おしっこの色が茶色っぽい,,,-1,ビリルビン尿,R822,CS
おしっこの色が濃い,,,-1,ビリルビン尿,R822,CS
かっしょくのションベン,,,-1,ビリルビン尿,R822,CS
にょうがちゃいろ,,,-1,ビリルビン尿,R822,CS
褐色のオシッコ,,,-1,ビリルビン尿,R822,CS
褐色の尿,,,-1,ビリルビン尿,R822,CS
褐色の尿が出ること,,,-1,ビリルビン尿,R822,CS
色の濃いおしっこ,,,-1,ビリルビン尿,R822,CS
色の濃い尿,,,-1,ビリルビン尿,R822,CS
赤い尿,,,-1,ビリルビン尿,R822,CS
濁った尿,,,-1,ビリルビン尿,R822,CS
濁った尿が出ること,,,-1,ビリルビン尿,R822,CS
茶色い尿,,,-1,ビリルビン尿,R822,CS
茶色のおしっこ,,,-1,ビリルビン尿,R822,CS
茶色の尿,,,-1,ビリルビン尿,R822,CS
尿が黄色い,,,-1,ビリルビン尿,R822,CS
尿が褐色であること,,,-1,ビリルビン尿,R822,CS
尿が赤い,,,-1,ビリルビン尿,R822,CS
尿が濃い,,,-1,ビリルビン尿,R822,CS
尿の色がこい,,,-1,ビリルビン尿,R822,CS
尿の色が褐色,,,-1,ビリルビン尿,R822,CS
尿の色が黒い,,,-1,ビリルビン尿,R822,CS
尿の色が濃い,,,-1,ビリルビン尿,R822,CS
濃い色の尿,,,-1,ビリルビン尿,R822,CS
濃い尿,,,-1,ビリルビン尿,R822,CS
脚がガタガタする,ガタガタ,脚,-1,ふるえ,R251,Web
歯がガチガチなる,ガチガチ,歯,-1,ふるえ,R251,Web
足がガタガタする,ガタガタ,足,-1,ふるえ,R251,Web
ピロリ,-1,-1,-1,ヘリコバクター・ピロリ感染症,A498,AEX
ピロリ菌,-1,-1,-1,ヘリコバクター・ピロリ感染症,A498,AEX
あつい,,,-1,ほてり,R232,CS
あつぽい,,,-1,ほてり,R232,CS
のぼせ,,,-1,ほてり,R232,CS
火照り,,,-1,ほてり,R232,CS
患部の発熱,,,-1,ほてり,R232,CS
暑い,,,-1,ほてり,R232,CS
全身または炎症のある局所に感じられる熱,,,-1,ほてり,R232,CS
体が熱い,,,-1,ほてり,R232,CS
熱い,,,-1,ほてり,R232,CS
熱があるような気がする,,,-1,ほてり,R232,CS
熱く感じる症状,,,-1,ほてり,R232,CS
熱さの感覚,,,-1,ほてり,R232,CS
熱っぽい感じ,,,-1,ほてり,R232,CS
熱っぽさ,,,-1,ほてり,R232,CS
熱のある感覚,,,-1,ほてり,R232,CS
熱感,,,-1,ほてり,R232,CS
熱中症,,,-1,ほてり,R232,CS
微熱,,,-1,ほてり,R232,CS
ポリープ,-1,-1,-1,ポリープ,D369,AEX
ミオグロビン尿,-1,-1,-1,ミオグロビン尿,R821,AEX
メニエール,-1,-1,-1,メニエール症候群,H810,AEX
メニエール症候群,-1,-1,-1,メニエール症候群,H810,AEX
メニエール病,-1,-1,-1,メニエール症候群,H810,AEX
